"","TR","SUBID","order","CONN_ID","stim_number","stim_name","artist","yearofrelease","liking","yearofbirth","familiarity","SSA","age_bin","TR_onset","second_onset","memory.evoking.","ID","PC_univ","HC_univ"
"39384",846,"FKEE",15,1,5,"Hey Jude","The Beatles","1970",NA,1963,4,7,"childhood",841,399.475,"",14,227.46,189.61
"39385",846,"GCAS",15,11,18,"Hoquetus II","Johannes Kretz","",NA,1947,1,NA,"",841,399.475,"",15,238,222.07
"39386",846,"GSHA",15,19,8,"Symphony No. 2 Finale","Mahler","",NA,1955,1,NA,"",841,399.475,"",16,223.06,176.55
"39387",846,"JDEN",15,27,22,"Simmer","Hubert Ho","",2,1968,1,NA,"",841,399.475,"",17,212.39,194.82
"39388",846,"JKAY",15,13,22,"Simmer","Hubert Ho","",NA,1950,0,NA,"",841,399.475,"",18,232.48,199.46
"39389",846,"JPRE",15,6,16,"Symphony No. 6 mvmt 1","Tchaikovsky","",4,1944,4,NA,"",841,399.475,"",19,207.52,167.52
"39390",846,"JSCH",15,2,2,"My Old School","Steely Dan","1973",NA,1951,4,22,"adulthood",841,399.475,"",20,226.79,208.73
"39391",846,"LDIR",15,5,9,"Cavatina Op. 130","Beethoven","",NA,1956,1,NA,"",841,399.475,"",21,218.02,177.84
"39392",846,"LGEN",15,3,8,"Symphony No. 2 Finale","Mahler","",NA,1955,3,NA,"",841,399.475,"",22,214.06,149.94
"39393",846,"LJAC",15,17,24,"Manual Labor","Hubert Ho","",NA,1952,1,NA,"",841,399.475,"",23,248.92,191.8
"39394",846,"LOLE",15,14,6,"The Frst Time I Ever Saw Your Face","Peter, Paul, and Mary","1965",NA,1946,4,19,"",841,399.475,"",24,231.98,194.69
"39395",846,"MBLO",15,8,13,"Reckoner","Radiohead","",NA,1953,2,NA,"",841,399.475,"",25,230.4,207.77
"39396",846,"MCOR",15,31,6,"Kalu","Dalva de Oliveira","1952",3,1964,4,-12,"",841,399.475,"",35,225.7,204.4
"39397",846,"NLEN",15,24,24,"Manual Labor","Hubert Ho","",3,1942,2,NA,"",841,399.475,"",26,197.61,172.14
"39398",846,"OADE",15,29,22,"Africa","Toto","1982",4,1970,4,12,"childhood",841,399.475,"y",27,230.13,216.09
"39399",846,"SCAE",15,15,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1965,4,-1,"",841,399.475,"",28,240.02,180.95
"39400",846,"TCIE",15,10,20,"Beyond the Horizon","Georg Hajdu","",NA,1960,2,NA,"",841,399.475,"",29,213.72,163.39
"39401",846,"TSTA",15,23,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1959,4,5,"childhood",841,399.475,"",30,237.25,190.39
"39402",847,"190904GHER1",15,4,14,"Nocturne in C Sharp minor","Chopin","",NA,1953,3,NA,"",841,399.475,"",1,204.99,184.59
"39403",847,"220914GHER1",15,26,15,"Nessun Dorma","Bocelli","",1,1952,2,NA,"",841,399.475,"",2,245.99,189.57
"39404",847,"AEHR",15,20,7,"Adagio for Strings","Barber","",NA,1960,1,NA,"",841,399.475,"",3,229.75,220.88
"39405",847,"ASHA",15,18,16,"Symphony No. 6 mvmt 1","Tchaikovsky","",NA,1951,2,NA,"",841,399.475,"",4,208.88,163.57
"39406",847,"BFOR",15,22,10,"John Wayne Gacy Jr.","Sufjan Stevens","",NA,1944,1,NA,"",841,399.475,"",5,212,167.18
"39407",847,"CWEI",15,7,12,"The Sound of Silence","Simon & Garfunkel","1964",NA,1941,4,23,"adulthood",841,399.475,"",6,206.3,161.1
"39408",847,"DFAI",15,12,8,"Symphony No. 2 Finale","Mahler","",NA,1953,1,NA,"",841,399.475,"",7,247.23,201
"39409",847,"DMET",15,30,3,"Like a Rolling Stone","Bob Dylan","1965",4,1951,4,14,"adolescence",841,399.475,"y (?)",8,209.99,189.21
"39410",847,"DMUN",15,25,14,"Nocturne in C Sharp minor","Chopin","",4,1968,4,NA,"",841,399.475,"",9,213.12,177.65
"39411",847,"EHER",15,16,24,"Manual Labor","Hubert Ho","",NA,1958,1,NA,"",841,399.475,"",10,240.18,237.84
"39412",847,"EKAS",15,28,4,"Patience","Tame Impala","2020",4,1957,4,63,"",841,399.475,"",11,209.12,193.49
"39413",847,"ELAR",15,21,7,"Adagio for Strings","Barber","",NA,1959,2,NA,"",841,399.475,"",12,244.24,180.3
"39414",847,"EROS",15,9,18,"Hoquetus II","Johannes Kretz","",NA,1961,1,NA,"",841,399.475,"",13,214.09,187.62
"39415",847,"FKEE",15,1,5,"Hey Jude","The Beatles","1970",NA,1963,4,7,"childhood",841,399.475,"",14,228.42,191.93
"39416",847,"GCAS",15,11,18,"Hoquetus II","Johannes Kretz","",NA,1947,1,NA,"",841,399.475,"",15,237.36,222.72
"39417",847,"GSHA",15,19,8,"Symphony No. 2 Finale","Mahler","",NA,1955,1,NA,"",841,399.475,"",16,222.67,176.31
